sample_id,label,status,credibility_status,urgency_status,emotion_status,D0_length,D1_length,D2_length,D3_length
0,fraud,full_success,success,success,success,310.0,329.0,540.0,801.0
1,fraud,full_success,success,success,success,396.0,498.0,739.0,1168.0
2,fraud,full_success,success,success,success,386.0,475.0,656.0,1039.0
3,fraud,full_success,success,success,success,382.0,606.0,858.0,1206.0
4,fraud,full_success,success,success,success,475.0,580.0,870.0,1235.0
5,fraud,full_success,success,success,success,370.0,466.0,742.0,990.0
6,fraud,full_success,success,success,success,356.0,548.0,741.0,1137.0
7,fraud,full_success,success,success,success,372.0,434.0,522.0,1004.0
8,fraud,full_success,success,success,success,328.0,475.0,645.0,875.0
9,fraud,full_success,success,success,success,353.0,499.0,749.0,905.0
10,fraud,full_success,success,success,success,422.0,616.0,867.0,1044.0
11,fraud,full_success,success,success,success,347.0,441.0,594.0,875.0
12,fraud,full_success,success,success,success,308.0,506.0,606.0,685.0
13,fraud,full_success,success,success,success,392.0,437.0,613.0,930.0
14,fraud,full_success,success,success,success,360.0,606.0,811.0,1261.0
15,fraud,full_success,success,success,success,428.0,658.0,850.0,1258.0
16,fraud,full_success,success,success,success,498.0,649.0,917.0,1278.0
17,fraud,full_success,success,success,success,310.0,365.0,506.0,756.0
18,fraud,full_success,success,success,success,359.0,439.0,514.0,870.0
19,fraud,full_success,success,success,success,292.0,444.0,599.0,777.0
20,fraud,full_success,success,success,success,385.0,756.0,1020.0,1422.0
21,fraud,full_success,success,success,success,322.0,401.0,572.0,816.0
22,fraud,full_success,success,success,success,467.0,533.0,716.0,996.0
23,fraud,full_success,success,success,success,413.0,726.0,949.0,1406.0
24,fraud,full_success,success,success,success,338.0,671.0,872.0,1219.0
25,fraud,full_success,success,success,success,339.0,412.0,557.0,873.0
26,fraud,full_success,success,success,success,476.0,673.0,933.0,1073.0
27,fraud,full_success,success,success,success,494.0,575.0,898.0,1155.0
28,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,296.0,296.0,296.0,296.0
29,fraud,full_success,success,success,success,385.0,652.0,947.0,1180.0
30,fraud,full_success,success,success,success,386.0,439.0,617.0,737.0
31,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言出现元说明词：检测,skipped_due_to_D1_failure,skipped_due_to_previous_failure,411.0,411.0,411.0,411.0
